adduct,n_mer,charge,mass_shift
[M-H-C9H14O9]-,1,-1,-267.0710584801
[M+H-C6H14O9]+,1,1,-229.0565055759
[M+H-C28H33NO11]+,1,1,-558.1980844239
[M-H-C7H4ClNO]-,1,-1,-154.0054178801
[M+H-C7H7BrN2O]+,1,1,-212.9668984919
[M-H-C3H2N2O]-,1,-1,-83.0239891361
[M+H-C2H10O5]+,1,1,-113.0455469679
[M+H-C5H6S2O2]+,1,1,-160.9736443599
[M+H-HNO2]+,1,1,-45.993451819899995
[M+H-C13H11F3N2]+,1,1,-251.0801565599
[M+H-C8H8N2OS]+,1,1,-179.0284571139
[M-H-C8H14O3]-,1,-1,-159.10157076009997
[M+H-C3H5F2N]+,1,1,-92.0317291479
[M+H-CHFO]+,1,1,-46.9938664199
[M+H-H2Cl2O]+,1,1,-86.9409935919
[M-H-C16H14N2O]-,1,-1,-251.1178895201
[M-H-C3H5N4O2]-,1,-1,-130.0485268521
[M+H-C12H28O13]+,1,1,-379.1457145038999
[M+H-C2H4S]+,1,1,-58.99609436589999
[M+H-C7H7NOS]+,1,1,-152.0175580819
[M-H-C8H6SO]-,1,-1,-151.0212119541
[M+H-HPO2]+,1,1,-62.964139449899996
[M-H-C6H6SO2]-,1,-1,-143.01612657409999
[M-H-C5H6O4]-,1,-1,-131.0338851241
[M+H-C13H11NS2]+,1,1,-244.02601427989998
[M-H-C8H10N2O4S]-,1,-1,-231.0434039421
[M-H-C23H38O17]-,1,-1,-587.2181762080999
[M-H-C7H13NO]-,1,-1,-128.1069904881
[M-H-C5H10O]-,1,-1,-87.0804413921
[M+H-C12H18NO5P]+,1,1,-286.0849828539
[M+H-C11H7ClN4O2]+,1,1,-261.01847669189993
[M+H-C4H6N2O2]+,1,1,-113.0356509799
[M+H-C10H18O2]+,1,1,-169.1234033639
[M+H-C12H18O4]+,1,1,-225.1132326039
[M+H-CBrO2]+,1,1,-121.90088988790001
[M-H-C8H16O2]-,1,-1,-145.1223062041
[M+H-C5H12O3]+,1,1,-119.07136779189999
[M+H-C9H8N2]+,1,1,-143.0614718039
[M+H-CHNO]+,1,1,-41.9985371999
[M+H-C3H3NO3]+,1,1,-100.00401650389999
[M-H-C17H22O]-,1,-1,-243.1743417761
[M+2i-H-CH3]-,1,-1,-14.0240415481
[M+H-C7H6Cl2O2]+,1,1,-190.9672083399
[M+H-C5H8BrO]+,1,1,-161.9685755239
[M+H-C16H38O4]+,1,1,-293.26973324389996
[M+H-5H2O]+,1,1,-89.0455485479
[M+H-C32H54O26]+,1,1,-853.2830553959
[M-H-C3H7O]-,1,-1,-60.0569662961
[M-H-C4H4O5]-,1,-1,-133.01314968009999
[M+H-C2O4]+,1,1,-86.9723820279
[M+H-C12H15NOS]+,1,1,-220.0801583379
[M+H+2i-CH5N]+,1,1,-28.028212707899993
[M-C2H3O],1,0,-43.018389716
[M+H+2i-C2HCl3N2]+,1,1,-154.9065446199
[M+H-C6H7N3]+,1,1,-120.05672077189999
[M+H-C9H12O8]+,1,1,-247.0459408919
[M-H-C6H5Cl]-,1,-1,-113.0152542921
[M+H-C5H11NO]+,1,1,-100.0767875199
[M+H-C11H10N2O2S]+,1,1,-233.0390217979
[M-H-C6H4ClF]-,1,-1,-131.0058324801
[M+H-C6H6FNO2S]+,1,1,-174.0030508899
[M+H-C4H4O3]+,1,1,-99.00876753589999
[M+H-C2H10S2O]+,1,1,-113.01002986789999
[M-H-C8H3F4NO]-,1,-1,-206.0223530481
[M+H-C8H15NO3]+,1,1,-172.09791688789997
[2M+Hac-H]-,2,-1,59.0138525479
[M+H-C9H20O5]+,1,1,-207.12379728789998
[M+H-C7H4BrNO]+,1,1,-195.9403493959
[M+H-C3H9O2]+,1,1,-76.0529780759
[M+H-C2H4IN]+,1,1,-167.9315706759
[M-H-C7H10O7]-,1,-1,-207.0499291121
[M-H-C9H13FN2O2]-,1,-1,-201.1033823281
[M+H-C13H27NO6]+,1,1,-292.1765611319
[M+H-N4H4]+,1,1,-59.036319675899996
[M+H-C8H16N2O4]+,1,1,-203.1037305399
[M+H-C9H10FNO]+,1,1,-166.0673657079
[M+H-CH3FO2]+,1,1,-65.0044311039
[M+H-C19H20O13]+,1,1,-455.0831142478999
[M+2i-H-CF3]-,1,-1,-67.9957761121
[M+H+2i-C7H4ClNO]+,1,1,-149.9841549759
[M+Li]+,1,1,7.0154554200999995
[M+H-C4H8N2]+,1,1,-83.06147180389999
[M+H-C12H17NO2]+,1,1,-206.1186523319
[M-H-C8H9N]-,1,-1,-120.0807757401
[M-H-C9H8SO6]-,1,-1,-245.0114351181
[M-H-C3H7N]-,1,-1,-58.065125676099996
[M+H-C2HFO3]+,1,1,-90.9836956599
[M+H-C3H6N2O]+,1,1,-85.0407363599
[2M-H+6i]-,2,-1,5.012853547900001
[M-H-C4H4O]-,1,-1,-69.0334912001
[M+H-C20H42O]+,1,1,-297.3162895118999
[M-H-C14H18N2O]-,1,-1,-231.1491896481
[M+H-H2N2O]+,1,1,-45.0094362319
[M+H-C8H6ClNO]+,1,1,-166.0065150399
[M+H-C12H9]+,1,1,-152.0631488359
[M-H-H3PO4]-,1,-1,-98.9841716581
[M-H-C6H12O6]-,1,-1,-181.07066455609998
[M-H-C5H10]-,1,-1,-71.0855267721
[M+H-C7H8N2O]+,1,1,-135.0563864239
[M-H-C11H6F9NO]-,1,-1,-340.03784424410003
[M+H-C2H5NO2]+,1,1,-74.0247519479
[M+H-C12H19NO3]+,1,1,-224.12921701589997
[M+H-C13H9NO2]+,1,1,-210.0560520759
[M+H-C7H11NO]+,1,1,-124.0767875199
[M+H-CH2FN]+,1,1,-46.009850831899996
[M+H-C4H3ClS]+,1,1,-116.95712201389999
[M+H-CHF2O2S]+,1,1,-113.9592549499
[M-H-C5H7N3S]-,1,-1,-142.0433443661
[M-H-CS]-,1,-1,-44.979347142099996
[M+H-CH2ClO2]+,1,1,-79.9670555319
[M-H-CN2O2]-,1,-1,-73.0032536921
[M-H-C14H10O2]-,1,-1,-211.0753560121
[M+H-C10H11NO5S]+,1,1,-256.02851668989996
[M+H-C10H11ClO2]+,1,1,-197.0374808199
[M+H-C9H18]+,1,1,-125.13357412389999
[M-H-H4O]-,1,-1,-21.033491200100002
[M+H-C3H9N]+,1,1,-58.06622283589999
[M-H-3H2O]-,1,-1,-55.0389714521
[M+H-C6H11NO2]+,1,1,-128.0717021399
[M+H-C2H8O3]+,1,1,-79.04006766389999
[M-H-C9H11N]-,1,-1,-134.0964258041
[M+H-C4H9O2PS]+,1,1,-150.9988103959
[M+H-C6H14N2]+,1,1,-113.10842199589999
[M+H-C7H4ClNO3S]+,1,1,-215.9527649059
[M+H+2i-C2H6O]+,1,1,-43.0278783599
[M-H-N2H2]-,1,-1,-31.0290745161
[M+H-C30H48O4]+,1,1,-471.34798356389996
[M+H-C3H8N]+,1,1,-57.05839780389999
[M+H+2i-C7H8FN]+,1,1,-122.0500910239
[M+H-C10H15N3]+,1,1,-176.11932102789999
[M+DMSO+H]+,1,1,79.0212124521
[M-H-C9H16O7]-,1,-1,-237.09687930409999
[M+H-HBrCl]+,1,1,-113.8877383599
[M+H-C27H29NO10]+,1,1,-526.1718696759001
[M+H-C11H20O]+,1,1,-167.1441388079
[M+H-C15H24O]+,1,1,-219.1754389359
[M+H-C14H18N2O2]+,1,1,-245.1295513639
[M-H-C6H5F]-,1,-1,-97.0448048321
[M-H-C12H22O11]-,1,-1,-343.1234879761
[M+2H+2i]2+,1,2,4.0212629042
[M-H-C18H28O5]-,1,-1,-325.2009504481
[M+H-C6H16N2]+,1,1,-115.12407205989999
[M-H-C2H3FO]-,1,-1,-63.0240693881
[M+H-C8H8N2O3S]+,1,1,-211.01828635389998
[M+H+2i-C7H9N]+,1,1,-104.0595128359
[M+H-NO]+,1,1,-28.9907121679
[M+H-C9H8FNO]+,1,1,-164.0517156439
[M+H+2i-C9H7NO3]+,1,1,-174.02860663189998
[M+H-C10H14BrNO2]+,1,1,-258.01351433589997
[M+H-C7H8O3]+,1,1,-139.04006766389998
[M+2i-H-C6H8O6]-,1,-1,-175.0326544281
[M+H-C19H34O9]+,1,1,-405.21300621589995
[M-H-C2H7NO2]-,1,-1,-78.0549549161
[M+H-C3H8O]+,1,1,-59.0502384239
[M-H-CH6O2]-,1,-1,-51.044055884100004
[M+H-C13H18O10]+,1,1,-333.0827203239
[M+H-C10H8NO4]+,1,1,-205.03805628389998
[M-H-C4H5NS]-,1,-1,-100.02154630209999
[M-H-C10H6NO]-,1,-1,-157.0522152641
[M+2i-H-C2H6O2]-,1,-1,-61.037345884100006
[M+H-C5H14O4]+,1,1,-137.0819324759
[M+H-C9H13O7P]+,1,1,-263.03261293389994
[M+H-C15H11N5O]+,1,1,-276.08908351989993
[M-H-C15H19NO3]-,1,-1,-262.1437699201
[M+H-CH4F]+,1,1,-34.0224268959
[M+H-C5H14NO4P]+,1,1,-182.0587681059
[M+H-C9H14N2O]+,1,1,-165.1033366159
[3M+ClO3]-,3,-1,82.95414511989999
[M+H-C18H36]+,1,1,-251.27442469989998
[M+H+2i-C5H7NO]+,1,1,-94.0387773919
[M+H-C14H18O2]+,1,1,-217.1234033639
[M+2i-H-C3H4O2]-,1,-1,-71.0216958201
[M+H-CH5NO]+,1,1,-46.0298373279
[M+H-COOH]+,1,1,-43.9903778199
[M+H-C7H12O2]+,1,1,-127.0764531719
[M+H+2i-CH3ClO]+,1,1,-62.9732559439
[M+H-C3H10N2OS]+,1,1,-121.04410717789999
[M+H-C28H46O23]+,1,1,-749.2357112799
[M+H+2i-CHNO]+,1,1,-39.9918271999
[M+H-C13H15N3O3]+,1,1,-260.10406488789994
[M-H-C7H14O7]-,1,-1,-211.0812292401
[M+H-C6H16O8]+,1,1,-215.0772410199
[M+2i-H-C4H4N2O]-,1,-1,-95.0329292001
[M+H-CH2O]+,1,1,-29.003288231899997
[M+H-C3H10O3]+,1,1,-93.05571772789999
[M+H-C7H8FNO2S]+,1,1,-188.0187009539
[M-H-C17H24O9]-,1,-1,-373.1493088001
[M+H-C12H22O10]+,1,1,-325.1140204519
[M+H-C9H10BrNO]+,1,1,-225.9872995879
[M+H-C9H10ClNO]+,1,1,-182.0378151679
[M-H-C2H2N4]-,1,-1,-83.03522251609999
[M-H-C4H7NO2]-,1,-1,-102.0549549161
[M+OH+2i]-,1,-1,19.0099982319
[M+H-C8H7N3O]+,1,1,-160.0516353919
[M-H-C9H8N]-,1,-1,-131.0729507081
[M+H-C7H11NO3]+,1,1,-156.06661675989997
[M-H-C3H6O6]-,1,-1,-139.0237143641
[M+H-C14H11N5]+,1,1,-248.09416889989998
[M+H-C6H7F3N2OS]+,1,1,-211.0158417419
[M-H-C11H18O8]-,1,-1,-279.1074439881
[M+H+2i-C2H4N2O]+,1,1,-69.0183762959
[M-H-HIO]-,1,-1,-144.9144891041
[M+H-C21H32O7]+,1,1,-395.20752691189995
[M+H-C8H8INO4S]+,1,1,-339.91459997389995
[M+H-C6H12N2O]+,1,1,-127.08768655189999
[M+H-CH4ClO]+,1,1,-65.9877909759
[M+H-C7H14S]+,1,1,-129.0743446859
[M+H-C4H7O2]+,1,1,-86.0373280119
[M+H-C10H10O3]+,1,1,-177.05571772789997
[M+H+2i-C2H3N3]+,1,1,-66.0187106439
[M+H-C6H6N2O3]+,1,1,-153.03056559989997
[M-H-C3H2N2S]-,1,-1,-99.00114520609999
[M-H-CH3N3]-,1,-1,-58.0399735481
[M+H-C6H10N2O2S]+,1,1,-173.0390217979
[M+H-H2O-NH3]+,1,1,-34.0298375479
[M+H-H8N2O5]+,1,1,-115.0360449039
[M+H-C10H14N2O]+,1,1,-177.1033366159
[M+H-CH5BrN]+,1,1,-108.9532598079
[M+H-C8H14]+,1,1,-109.10227399589999
[M+H-C6H8INO3S]+,1,1,-299.9196853539
[M+H-C2HNOS]+,1,1,-85.9706078899
[M+H-C9H14O6]+,1,1,-217.07176171589998
[M+H-C6H4FO2S]+,1,1,-157.9843268259
[M+H-C2H3Cl2N]+,1,1,-109.95697800389999
[M-H-C7H15O6]-,1,-1,-196.09413965209998
[M+H-C28H31NO10]+,1,1,-540.1875197399
[M+7Na-5H]2+,1,2,155.88816264020002
[M+H-C6H10SO3]+,1,1,-161.02778841789998
[M+H-C15H26O13]+,1,1,-413.13006443989997
[M+H-C7H6ClNO]+,1,1,-154.0065150399
[M+H+4i-2H2O]+,1,1,-31.0004335479
[M+H-C20H30O]+,1,1,-285.22238912789993
[M+H-C11H16N2O]+,1,1,-191.1189866799
[M+H-C2H3NS]+,1,1,-71.99134333389999
[M-H-C20H28O3]-,1,-1,-317.2111212081
[M+H-C11H16N4]+,1,1,-203.13022005989998
[M-H-CO]-,1,-1,-29.0021910721
[M+H-CH5FO3]+,1,1,-83.01499578789999
[M+H-C27H36O16]+,1,1,-615.1930586199
[M+H-C19H33NO3]+,1,1,-322.2387674639
[M+2H-NH3]2+,1,2,-15.0119960958
[M+H-C14H18O7]+,1,1,-297.09797646389995
[M+H-H2F2]+,1,1,-39.0051800519
[M-H-C9H9NO2]-,1,-1,-164.0706049801
